commodity_year,state_code,state_abbr,county_code,commodity_code,cause_of_loss_code,month_of_loss,year_of_loss,indemnity_amount,total_premium,liability_amount,net_determined_acres,net_planted_acres,determined_yield,indemnity_to_premium_ratio,indemnity_to_liability_ratio,yield_deviation,high_cause_code,county_claim_frequency,fraud_label
2019,4,AZ,1,88,55,7,2019.0,0.0,12295.0,39295.0,0.0,3731.72,0.79,0.0,0.0,0.183633571486342,0,926,0
2019,4,AZ,1,88,55,9,2019.0,0.0,57194.0,365512.0,0.0,36630.4695,1.09,0.0,0.0,0.2533678391393832,0,926,0
2019,4,AZ,1,88,55,12,2019.0,0.0,168199.0,836381.0,0.0,81861.28502,1.73,0.0,0.0,0.4021342767992045,0,926,0
2019,4,AZ,1,88,55,10,2019.0,0.0,34043.0,361410.0,0.0,36253.27442,3.3,0.0,0.0,0.7670769441834537,0,926,0
2019,4,AZ,1,88,55,5,2019.0,0.0,79263.0,283109.0,0.0,27445.326,0.33,0.0,0.0,0.0767076944183453,0,926,0
2019,4,AZ,1,88,55,8,2019.0,0.0,967907.0,2682989.0,0.0,254794.858,0.34,0.0,0.0,0.07903217000678,0,926,0
2019,4,AZ,1,88,55,11,2019.0,0.0,49287.0,401469.0,0.0,39613.4226,1.9,0.0,0.0,0.4416503618025946,0,926,0
2019,4,AZ,1,88,55,6,2019.0,0.0,832009.0,2997742.0,0.0,284685.818,0.3,0.0,0.0,0.0697342676530412,0,926,0
2019,4,AZ,1,88,55,2,2020.0,0.0,1219526.0,4064288.0,0.0,385972.4,0.9,0.0,0.0,0.2092028029591237,0,926,0
2019,4,AZ,3,20,42,10,2019.0,1190.18,95239.0,3692669.8,0.0,1190.18,5.99,0.0124966400671986,0.0003223087202899,1.3923608774723903,0,44,0
2019,4,AZ,3,20,44,3,2020.0,1096.92,89571.0,3709783.2,0.0,1096.92,4.69,0.0122462376635555,0.0002956829672194,1.0901790509758784,0,44,0
2019,4,AZ,3,21,01,10,2019.0,321.15,22734.7,271313.5,0.0,321.15,2.65,0.0141253623156533,0.0011836816683221,0.6159860309351978,0,62,0
2019,4,AZ,3,21,12,9,2019.0,124.0,8688.8,120781.2,0.0,124.0,1.9,0.0142696034431172,0.0010266413428468,0.4416503618025946,0,62,0
2019,4,AZ,3,21,21,8,2019.0,72.96,4539.9,59551.5,0.0,72.96,0.16,0.0160672994340329,0.0012251374837328,0.0371916094149553,0,62,0
2019,4,AZ,3,21,31,9,2019.0,73.52,7021.6,67886.8,0.0,73.52,5.55,0.0104690570443995,0.0010829633601324,1.2900839515812632,0,62,0
2019,4,AZ,3,21,31,11,2019.0,115.16,8792.0,88118.0,0.0,115.16,9.97,0.0130967815307631,0.001306869120167,2.3175021616694047,0,62,0
2019,4,AZ,3,21,31,11,2019.0,290.46,23231.2,230977.1,0.0,290.46,8.61,0.0125024750131283,0.0012575218170034,2.001373481642284,0,62,0
2019,4,AZ,3,21,42,5,2019.0,197.33,12465.2,149663.0,0.0,197.33,1.51,0.0158292021626478,0.001318486743639,0.350995813853641,0,62,0
2019,4,AZ,3,21,42,5,2019.0,43.85,1612.0,26013.0,0.0,43.85,0.39,0.0271853688778673,0.0016856308141769,0.0906545479489536,0,62,0
2019,4,AZ,3,21,42,10,2019.0,93.0,6516.6,90585.9,0.0,93.0,1.9,0.0142690560942678,0.0010266385095416,0.4416503618025946,0,62,0
2019,4,AZ,3,21,44,5,2019.0,62.5,2199.0,23415.0,0.0,35.0,0.07,0.0284090909090909,0.0026691151349504,0.0162713291190429,0,62,0
2019,4,AZ,3,21,44,5,2019.0,7.5,2199.0,23415.0,0.0,35.0,2.19,0.0034090909090909,0.000320293816194,0.5090601538672012,0,62,0
2019,4,AZ,3,21,55,8,2020.0,3754.87,109954.0,669605.0,0.0,0.0,5.91,0.0341491519257878,0.0056075811746011,1.3737650727649129,0,62,0
2019,4,AZ,3,21,61,10,2019.0,7.5,2199.0,23415.0,0.0,35.0,2.19,0.0034090909090909,0.000320293816194,0.5090601538672012,0,62,0
2019,4,AZ,3,21,61,10,2019.0,62.5,2199.0,23415.0,0.0,35.0,0.07,0.0284090909090909,0.0026691151349504,0.0162713291190429,0,62,0
2019,4,AZ,3,41,31,9,2019.0,43.7,334.0,21554.0,0.0,43.7,14.96,0.1304477611940298,0.0020273718394803,3.477415480298324,0,14,0
2019,4,AZ,3,47,42,10,2019.0,58.6,178.22,6582.08,0.0,39.262,49.7,0.3269724361120411,0.008901608365689,11.5526436745205,0,5,1
2019,4,AZ,3,88,55,10,2019.0,0.0,26330.0,340517.0,0.0,35480.5723,2.76,0.0,0.0,0.6415552624079794,0,1632,0
2019,4,AZ,3,88,55,12,2019.0,0.0,14002.0,65262.0,0.0,7448.49,0.2,0.0,0.0,0.0464895117686941,0,1632,0
2019,4,AZ,3,88,55,9,2019.0,0.0,35140.0,305749.0,0.0,33692.441,3.04,0.0,0.0,0.7066405788841514,0,1632,0
2019,4,AZ,3,88,55,11,2019.0,0.0,5635.0,36427.0,0.0,3459.332,0.18,0.0,0.0,0.0418405605918247,0,1632,0
2019,4,AZ,3,88,55,4,2019.0,0.0,24228.0,99752.0,0.0,11396.495,0.61,0.0,0.0,0.1417930108945172,0,1632,0
2019,4,AZ,3,88,55,7,2019.0,0.0,51127.0,128327.0,0.0,12905.812,0.73,0.0,0.0,0.1696867179557337,0,1632,0
2019,4,AZ,3,88,55,8,2019.0,0.0,536651.0,1494060.0,0.0,164778.7013,1.12,0.0,0.0,0.2603412659046873,0,1632,0
2019,4,AZ,3,1191,55,8,2019.0,0.0,8487.0,23470.0,0.0,205.7,1.29,0.0,0.0,0.2998573509080774,0,7,0
2019,4,AZ,3,1191,55,9,2019.0,0.0,3096.0,27156.0,0.0,238.0,1.94,0.0,0.0,0.4509482641563334,0,7,0
2019,4,AZ,5,88,55,7,2019.0,0.0,15476.0,61460.0,0.0,7000.0,0.32,0.0,0.0,0.0743832188299106,0,753,0
2019,4,AZ,5,88,55,9,2019.0,0.0,468499.0,2083406.0,0.0,206013.172,3.06,0.0,0.0,0.7112895300610208,0,753,0
2019,4,AZ,5,88,55,6,2019.0,0.0,919331.0,2713529.0,0.0,258087.898,0.86,0.0,0.0,0.1999049006053849,0,753,0
2019,4,AZ,5,88,55,10,2019.0,0.0,66383.0,783298.0,0.0,88749.9852,6.84,0.0,0.0,1.5899413024893403,0,753,0
2019,4,AZ,5,88,55,11,2019.0,0.0,95515.0,656697.0,0.0,70955.493,3.48,0.0,0.0,0.8089175047752786,0,753,0
2019,4,AZ,5,88,55,2,2020.0,0.0,310613.0,1016072.0,0.0,96493.075,1.27,0.0,0.0,0.295208399731208,0,753,0
2019,4,AZ,5,88,55,12,2019.0,0.0,479619.0,1791373.0,0.0,172044.5252,2.19,0.0,0.0,0.5090601538672012,0,753,0
2019,4,AZ,7,88,55,9,2019.0,0.0,18964.0,134985.0,0.0,14702.4,3.17,0.0,0.0,0.7368587615338026,0,1063,0
2019,4,AZ,7,88,55,6,2019.0,0.0,452148.0,1674026.0,0.0,176315.1775,0.57,0.0,0.0,0.1324951085407783,0,1063,0
2019,4,AZ,7,88,55,12,2019.0,0.0,187012.0,908098.0,0.0,98565.9215,1.56,0.0,0.0,0.3626181917958145,0,1063,0
2019,4,AZ,7,88,55,11,2019.0,0.0,174391.0,1157086.0,0.0,118584.8805,2.77,0.0,0.0,0.6438797379964143,0,1063,0
2019,4,AZ,7,88,55,8,2019.0,0.0,134594.0,303700.0,0.0,32534.2465,0.67,0.0,0.0,0.1557398644251254,0,1063,0
2019,4,AZ,7,88,55,7,2019.0,0.0,154388.0,437901.0,0.0,43638.346,0.56,0.0,0.0,0.1301706329523436,0,1063,0
2019,4,AZ,7,88,55,10,2019.0,0.0,21020.0,260250.0,0.0,28293.5665,6.67,0.0,0.0,1.5504252174859503,0,1063,0
2019,4,AZ,7,9999,55,6,2019.0,0.0,437.0,1450.0,0.0,12.0,0.24,0.0,0.0,0.055787414122433,0,1,0
2019,4,AZ,9,21,01,10,2019.0,1778.2,123131.6,1665438.5,0.0,1778.2,2.91,0.0144413420978684,0.0010677061520397,0.6764223962345002,0,206,0
2019,4,AZ,9,21,01,11,2019.0,2.785,118.15,1335.45,0.0,2.785,8.73,0.0233738984473352,0.0020838789329941,2.0292671887035008,0,206,0
2019,4,AZ,9,21,12,9,2019.0,1571.76,129942.8,1693416.2,0.0,1571.76,2.95,0.012095690598551,0.0009281587549718,0.685720298588239,0,206,0
2019,4,AZ,9,21,12,7,2019.0,10.958,700.48,6732.06,0.0,10.958,3.72,0.0156212579118435,0.0016274918090734,0.8647049188977116,0,206,0
2019,4,AZ,9,21,13,5,2019.0,660.8,40097.0,339615.0,0.0,660.8,8.47,0.0164796249189485,0.0019457269386601,1.9688308234041985,0,206,0
2019,4,AZ,9,21,13,5,2019.0,474.69,35958.0,232295.0,0.0,474.69,6.46,0.0132008676548291,0.0020434703998346,1.5016112301288216,0,206,0
2019,4,AZ,9,21,21,8,2019.0,69.96,4871.4,56711.7,0.0,69.96,4.89,0.0143584270585337,0.0012335861279748,1.1366685627445725,0,206,0
