commodity_year,state_code,state_abbr,county_code,commodity_code,cause_of_loss_code,month_of_loss,year_of_loss,indemnity_amount,total_premium,liability_amount,net_determined_acres,net_planted_acres,determined_yield,indemnity_to_premium_ratio,indemnity_to_liability_ratio,yield_deviation,high_cause_code,county_claim_frequency,fraud_label
2019,2,AK,240,9999,31,8,2019.0,36.0,103.8,3613.5,0.0,36.0,34.81,0.3435114503816794,0.0099598838013556,1.4741254563341468,0,46,0
2019,2,AK,240,9999,44,10,2019.0,36.0,103.8,3613.5,0.0,36.0,34.81,0.3435114503816794,0.0099598838013556,1.4741254563341468,0,46,0
2019,2,AK,240,9999,44,4,2019.0,56.7,166.0,1132.5,0.0,56.7,6.82,0.3395209580838323,0.0500220555800617,0.2888117096293847,0,46,0
2019,2,AK,240,9999,44,9,2019.0,48.0,138.4,4818.0,0.0,48.0,34.81,0.3443328550932568,0.0099605727329321,1.4741254563341468,0,46,0
2019,2,AK,240,9999,44,5,2019.0,56.7,166.0,1132.5,0.0,56.7,6.82,0.3395209580838323,0.0500220555800617,0.2888117096293847,0,46,0
2019,13,GA,1,12,12,5,2019.0,123.95,63871.5,336855.0,0.0,123.95,3.27,0.0019405847586989,0.0003679613840929,0.8167199698713066,0,215,0
2019,13,GA,1,12,12,5,2019.0,3.0,3447.6,17721.0,0.0,3.0,4.77,0.0008699182276865,0.0001692811195124,1.1913621578856672,0,215,0
2019,13,GA,1,12,12,6,2019.0,3.55,1920.0,8532.0,0.0,3.55,0.81,0.0018479958355023,0.0004160318762451,0.2023067815277548,0,215,0
2019,13,GA,1,12,12,3,2019.0,1.0,1016.0,5629.0,0.0,1.0,2.15,0.0009832841691248,0.000177619893428,0.5369871361539171,0,215,0
2019,13,GA,1,12,31,6,2019.0,94.12,68779.5,299358.0,0.0,94.12,1.18,0.0013684111048916,0.0003144051122565,0.2947185212379638,0,215,0
2019,13,GA,1,12,41,3,2019.0,14.6,44644.8,112470.8,0.0,14.6,1.78,0.0003270184429442,0.0001298103168972,0.4445753964437082,0,215,0
2019,13,GA,1,12,42,3,2019.0,14.403,20739.3,95154.6,0.0,14.403,2.59,0.0006944451141015,0.000151362610293,0.646882177971463,0,215,0
2019,13,GA,1,12,42,4,2019.0,34.32,68216.0,311751.6,0.0,34.32,2.84,0.0005031004001935,0.0001100872935783,0.7093225426405231,0,215,0
2019,13,GA,1,12,44,1,2019.0,47.53,58624.5,241118.0,0.0,47.53,2.14,0.0008107393540353,0.0001971225826251,0.5344895215671548,0,215,0
