round,f1,precision,recall,roc_auc,pr_auc,tp,fp,fn,tn,duration_sec
1,0.9764,0.955,0.9986,0.9998,0.9915,5078,239,7,130106,3.6
2,0.991,0.9864,0.9957,1.0,0.9989,5063,70,22,130275,1.0
3,0.9937,0.9922,0.9953,1.0,0.9983,5061,40,24,130305,1.4
4,0.9938,0.9929,0.9947,1.0,0.9981,5058,36,27,130309,1.5
5,0.9938,0.9927,0.9949,1.0,0.9983,5059,37,26,130308,1.6
